function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
gdm_ridge,0.5,0.3,0.01,True,N/A,N/A,335,0.04493023894538308
gdm_ridge,0.5,0.3,0.05,True,N/A,N/A,333,0.04684083045928925
gdm_ridge,0.5,0.3,0.1,True,N/A,N/A,329,0.04922811962489567
gdm_ridge,0.5,0.3,0.5,True,N/A,N/A,305,0.06822106069473784
gdm_ols,0.01,0.4,N/A,True,N/A,N/A,186,0.04443872793649491
gdm_ridge,0.01,0.4,0.01,True,N/A,N/A,1000,1.7021772274457583
gdm_ridge,0.01,0.4,0.05,True,N/A,N/A,1000,1.7024705752029792
gdm_ridge,0.01,0.4,0.1,True,N/A,N/A,1000,1.7028371970340581
gdm_ridge,0.01,0.4,0.5,True,N/A,N/A,1000,1.7057676587070794
gdm_ols,0.1,0.4,N/A,True,N/A,N/A,17,0.044424481011619596
gdm_ridge,0.1,0.4,0.01,True,N/A,N/A,1000,0.04600350482234696
gdm_ridge,0.1,0.4,0.05,True,N/A,N/A,1000,0.04788250486515886
gdm_ridge,0.1,0.4,0.1,True,N/A,N/A,1000,0.05022933257809663
gdm_ridge,0.1,0.4,0.5,True,N/A,N/A,1000,0.06892734767780193
gdm_ols,0.2,0.4,N/A,True,N/A,N/A,17,0.04442437367275503
gdm_ridge,0.2,0.4,0.01,True,N/A,N/A,675,0.044962790849250624
gdm_ridge,0.2,0.4,0.05,True,N/A,N/A,671,0.04687274157925617
gdm_ridge,0.2,0.4,0.1,True,N/A,N/A,666,0.04925777780948992
gdm_ridge,0.2,0.4,0.5,True,N/A,N/A,628,0.06823889872968844
gdm_ols,0.5,0.4,N/A,True,N/A,N/A,17,0.04442462812493206
gdm_ridge,0.5,0.4,0.01,True,N/A,N/A,290,0.04492525254200783
gdm_ridge,0.5,0.4,0.05,True,N/A,N/A,287,0.04683723255198824
gdm_ridge,0.5,0.4,0.1,True,N/A,N/A,284,0.049224096418539975
gdm_ridge,0.5,0.4,0.5,True,N/A,N/A,262,0.06821941583042218
sgd_ols,N/A,N/A,N/A,True,5,32,12,0.002559112250303048
sgd_ridge,N/A,N/A,0.01,True,5,36,9,0.0031027759669629714
sgd_ridge,N/A,N/A,0.05,True,5,11,1,0.003431742856409785
sgd_ridge,N/A,N/A,0.1,True,5,30,5,0.007562413104276569
sgd_ridge,N/A,N/A,0.5,True,5,15,14,0.02740674865691741
sgd_ols,N/A,N/A,N/A,True,10,51,8,0.005847320522006483
sgd_ridge,N/A,N/A,0.01,True,10,51,8,0.01208564608756121
sgd_ridge,N/A,N/A,0.05,True,10,46,5,0.0036373777692498203
sgd_ridge,N/A,N/A,0.1,True,10,51,8,0.010206713701437154
sgd_ridge,N/A,N/A,0.5,True,10,51,8,0.030482047206021802
sgd_ols,N/A,N/A,N/A,True,15,32,2,0.009577572607974948
sgd_ridge,N/A,N/A,0.01,True,15,51,5,0.0885289148553576
sgd_ridge,N/A,N/A,0.05,True,15,51,5,0.059533643294810534
sgd_ridge,N/A,N/A,0.1,True,15,51,5,0.1345850273054816
sgd_ridge,N/A,N/A,0.5,True,15,51,5,0.04495751905588085
sgd_ols,N/A,N/A,N/A,True,5,48,8,0.0016894047924387043
sgd_ridge,N/A,N/A,0.01,True,5,37,2,0.0030907018366326767
sgd_ridge,N/A,N/A,0.05,True,5,36,7,0.005164078230347606
sgd_ridge,N/A,N/A,0.1,True,5,53,14,0.007358062933423394
sgd_ridge,N/A,N/A,0.5,True,5,24,8,0.025319033949203616
sgd_ols,N/A,N/A,N/A,True,10,75,8,0.004383901679839148
sgd_ridge,N/A,N/A,0.01,True,10,57,N/A,0.002005833339585956
sgd_ridge,N/A,N/A,0.05,True,10,51,7,0.003538979365679708
sgd_ridge,N/A,N/A,0.1,True,10,54,6,0.00541499333538447
sgd_ridge,N/A,N/A,0.5,True,10,75,8,0.03225442429834729
sgd_ols,N/A,N/A,N/A,True,15,17,3,0.009577072649231591
sgd_ridge,N/A,N/A,0.01,True,15,75,5,0.045333378964069894
sgd_ridge,N/A,N/A,0.05,True,15,75,5,0.09393540751409535
sgd_ridge,N/A,N/A,0.1,True,15,75,5,0.04261245794979286
sgd_ridge,N/A,N/A,0.5,True,15,75,5,0.11573932210701322
sgdm_ols,N/A,N/A,N/A,True,5,51,16,0.001739464540355771
sgdm_ridge,N/A,N/A,0.01,True,5,5,3,0.0013135053392734938
sgdm_ridge,N/A,N/A,0.05,True,5,40,11,0.005179330196810184
sgdm_ridge,N/A,N/A,0.1,True,5,39,6,0.007365721489890937
sgdm_ridge,N/A,N/A,0.5,True,5,27,13,0.0253201327732813
sgdm_ols,N/A,N/A,N/A,True,5,51,16,0.003385808973413998
sgdm_ridge,N/A,N/A,0.01,True,5,35,7,0.0030761304197078772
sgdm_ridge,N/A,N/A,0.05,True,5,16,7,0.005167006549000432
sgdm_ridge,N/A,N/A,0.1,True,5,22,14,0.007538251678278002
sgdm_ridge,N/A,N/A,0.5,True,5,44,5,0.026868051900587255
sgdm_ols,N/A,N/A,N/A,True,5,14,5,0.0026231715755140063
sgdm_ridge,N/A,N/A,0.01,True,5,25,14,0.0032548268793251125
sgdm_ridge,N/A,N/A,0.05,True,5,16,12,0.005167964421404422
sgdm_ridge,N/A,N/A,0.1,True,5,30,12,0.007363041836647415
sgdm_ridge,N/A,N/A,0.5,True,5,24,1,0.02542447724882303
sgdm_ols,N/A,N/A,N/A,True,5,51,16,0.0027730992776916963
sgdm_ridge,N/A,N/A,0.01,True,5,4,7,0.001670981059018306
sgdm_ridge,N/A,N/A,0.05,True,5,12,N/A,0.005309749512701636
sgdm_ridge,N/A,N/A,0.1,True,5,18,4,0.008083390098364087
sgdm_ridge,N/A,N/A,0.5,True,5,13,9,0.02697623108207636
sgdm_ols,N/A,N/A,N/A,True,10,51,8,0.006998314793176485
sgdm_ridge,N/A,N/A,0.01,True,10,40,7,0.0020254960552687977
sgdm_ridge,N/A,N/A,0.05,True,10,51,8,0.0035572094098818316
sgdm_ridge,N/A,N/A,0.1,True,10,44,7,0.005540985329860264
sgdm_ridge,N/A,N/A,0.5,True,10,51,8,0.029468147345182095
sgdm_ols,N/A,N/A,N/A,True,10,51,8,0.007014150840405505
sgdm_ridge,N/A,N/A,0.01,True,10,36,3,0.0019599847802815864
sgdm_ridge,N/A,N/A,0.05,True,10,40,1,0.003677835000924651
sgdm_ridge,N/A,N/A,0.1,True,10,37,7,0.005624820917995327
sgdm_ridge,N/A,N/A,0.5,True,10,51,8,0.02469336674001263
sgdm_ols,N/A,N/A,N/A,True,10,27,5,0.0052082893180719425
sgdm_ridge,N/A,N/A,0.01,True,10,30,7,0.0019808188213695497
sgdm_ridge,N/A,N/A,0.05,True,10,36,4,0.0036133479961767668
sgdm_ridge,N/A,N/A,0.1,True,10,27,1,0.005479716239052143
sgdm_ridge,N/A,N/A,0.5,True,10,51,8,0.035148593413518656
sgdm_ols,N/A,N/A,N/A,True,10,17,3,0.006948026390043688
sgdm_ridge,N/A,N/A,0.01,True,10,28,7,0.002161630450007189
sgdm_ridge,N/A,N/A,0.05,True,10,22,N/A,0.003573132489162174
sgdm_ridge,N/A,N/A,0.1,True,10,28,6,0.006038246610467158
sgdm_ridge,N/A,N/A,0.5,True,10,43,5,0.029173579622213994
sgdm_ols,N/A,N/A,N/A,True,15,49,4,0.009577206606789207
sgdm_ridge,N/A,N/A,0.01,True,15,51,5,0.05034835146818472
sgdm_ridge,N/A,N/A,0.05,True,15,51,5,0.11525264253569559
sgdm_ridge,N/A,N/A,0.1,True,15,51,5,0.05368529376825323
sgdm_ridge,N/A,N/A,0.5,True,15,51,5,0.12431430991571701
sgdm_ols,N/A,N/A,N/A,True,15,15,2,0.009577564366430398
sgdm_ridge,N/A,N/A,0.01,True,15,51,5,0.0375886179572516
sgdm_ridge,N/A,N/A,0.05,True,15,51,5,0.039369117230206606
sgdm_ridge,N/A,N/A,0.1,True,15,51,5,0.03777760929190772
sgdm_ridge,N/A,N/A,0.5,True,15,51,5,0.07167938910007103
sgdm_ols,N/A,N/A,N/A,True,15,51,5,0.009645431040369334
sgdm_ridge,N/A,N/A,0.01,True,15,51,5,0.027040916353623625
sgdm_ridge,N/A,N/A,0.05,True,15,51,5,0.03986249618401805
sgdm_ridge,N/A,N/A,0.1,True,15,51,5,0.02892850508913976
sgdm_ridge,N/A,N/A,0.5,True,15,51,5,0.05431114506062773
sgdm_ols,N/A,N/A,N/A,True,15,20,3,0.008972498535365183
sgdm_ridge,N/A,N/A,0.01,True,15,51,5,0.044387044002132975
sgdm_ridge,N/A,N/A,0.05,True,15,51,5,0.011054035887618585
sgdm_ridge,N/A,N/A,0.1,True,15,51,5,0.0477409292454108
sgdm_ridge,N/A,N/A,0.5,True,15,51,5,0.0351049396361535
sgdm_ols,N/A,N/A,N/A,True,5,65,1,0.0026829142276643086
sgdm_ridge,N/A,N/A,0.01,True,5,15,8,0.00416792666568616
sgdm_ridge,N/A,N/A,0.05,True,5,7,14,0.0027295784828361893
sgdm_ridge,N/A,N/A,0.1,True,5,7,1,0.004721920206125141
sgdm_ridge,N/A,N/A,0.5,True,5,20,12,0.025336681283545572
sgdm_ols,N/A,N/A,N/A,True,5,75,16,0.0037154491908995635
sgdm_ridge,N/A,N/A,0.01,True,5,33,5,0.0030352430775184213
sgdm_ridge,N/A,N/A,0.05,True,5,6,11,0.0023530834217531126
sgdm_ridge,N/A,N/A,0.1,True,5,7,12,0.004360981778817127
sgdm_ridge,N/A,N/A,0.5,True,5,24,9,0.02694413660552319
sgdm_ols,N/A,N/A,N/A,True,5,10,4,0.002651414511675812
