function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
sgd_rms_ridge,0.5,N/A,0.1,True,10,75,8,0.023396858460366272
sgd_rms_ridge,0.5,N/A,0.5,True,10,75,8,0.024746917886681086
sgd_rms_ols,0.01,N/A,N/A,True,15,75,5,0.009578432537289416
sgd_rms_ridge,0.01,N/A,0.01,True,15,68,N/A,0.010064448405116342
sgd_rms_ridge,0.01,N/A,0.05,True,15,68,1,0.011959445525126983
sgd_rms_ridge,0.01,N/A,0.1,True,15,71,N/A,0.014330055359698446
sgd_rms_ridge,0.01,N/A,0.5,True,15,73,3,0.03279212338657706
sgd_rms_ols,0.1,N/A,N/A,True,15,75,5,0.010670873341346379
sgd_rms_ridge,0.1,N/A,0.01,True,15,75,5,0.010197510491067697
sgd_rms_ridge,0.1,N/A,0.05,True,15,75,5,0.015628847572918325
sgd_rms_ridge,0.1,N/A,0.1,True,15,75,5,0.014642193489891254
sgd_rms_ridge,0.1,N/A,0.5,True,15,75,5,0.033425706510306075
sgd_rms_ols,0.2,N/A,N/A,True,15,75,5,0.0053859978879708175
sgd_rms_ridge,0.2,N/A,0.01,True,15,9,N/A,0.005366398628254273
sgd_rms_ridge,0.2,N/A,0.05,True,15,6,2,0.011959164436210578
sgd_rms_ridge,0.2,N/A,0.1,True,15,75,5,0.014806235712774233
sgd_rms_ridge,0.2,N/A,0.5,True,15,75,5,0.029377140957594812
sgd_rms_ols,0.5,N/A,N/A,True,15,75,5,0.01681764974546405
sgd_rms_ridge,0.5,N/A,0.01,True,15,75,5,0.023330250392086402
sgd_rms_ridge,0.5,N/A,0.05,True,15,75,5,0.012070935107335128
sgd_rms_ridge,0.5,N/A,0.1,True,15,75,5,0.021474284785698627
sgd_rms_ridge,0.5,N/A,0.5,True,15,75,5,0.04735218119293841
sgdm_rms_ols,0.01,N/A,N/A,True,5,13,2,0.0013079377397336256
sgdm_rms_ridge,0.01,N/A,0.01,True,5,51,16,0.006563581212037804
sgdm_rms_ridge,0.01,N/A,0.05,True,5,51,16,0.008029369649974858
sgdm_rms_ridge,0.01,N/A,0.1,True,5,24,12,0.007518025157739468
sgdm_rms_ridge,0.01,N/A,0.5,True,5,51,16,0.023591763212555485
sgdm_rms_ols,0.1,N/A,N/A,True,5,51,16,0.005571971858931709
sgdm_rms_ridge,0.1,N/A,0.01,True,5,51,16,0.0044918446018824216
sgdm_rms_ridge,0.1,N/A,0.05,True,5,8,9,0.005541100274563662
sgdm_rms_ridge,0.1,N/A,0.1,True,5,51,16,0.009479774587482268
sgdm_rms_ridge,0.1,N/A,0.5,True,5,4,10,0.023945494841300305
sgdm_rms_ols,0.2,N/A,N/A,True,5,51,16,0.00358982596860609
sgdm_rms_ridge,0.2,N/A,0.01,True,5,16,10,0.0009756841931778959
sgdm_rms_ridge,0.2,N/A,0.05,True,5,51,16,0.003992063550297489
sgdm_rms_ridge,0.2,N/A,0.1,True,5,51,16,0.007820739044420995
sgdm_rms_ridge,0.2,N/A,0.5,True,5,51,16,0.021032951420720584
sgdm_rms_ols,0.5,N/A,N/A,True,5,51,16,0.004022835916643383
sgdm_rms_ridge,0.5,N/A,0.01,True,5,51,16,0.005286037248300765
sgdm_rms_ridge,0.5,N/A,0.05,True,5,8,9,0.0047072414193238266
sgdm_rms_ridge,0.5,N/A,0.1,True,5,51,16,0.005817391484728094
sgdm_rms_ridge,0.5,N/A,0.5,True,5,51,16,0.0693196787013718
sgdm_rms_ols,0.01,N/A,N/A,True,5,51,16,0.002352691623277905
sgdm_rms_ridge,0.01,N/A,0.01,True,5,51,16,0.0036770380714056853
sgdm_rms_ridge,0.01,N/A,0.05,True,5,51,16,0.005417130128232752
sgdm_rms_ridge,0.01,N/A,0.1,True,5,51,16,0.005390867323034491
sgdm_rms_ridge,0.01,N/A,0.5,True,5,37,14,0.02549040318855598
sgdm_rms_ols,0.1,N/A,N/A,True,5,51,16,0.0075345893082505435
sgdm_rms_ridge,0.1,N/A,0.01,True,5,51,16,0.002856339216498322
sgdm_rms_ridge,0.1,N/A,0.05,True,5,35,10,0.004194053803340419
sgdm_rms_ridge,0.1,N/A,0.1,True,5,51,16,0.0059711901577467075
sgdm_rms_ridge,0.1,N/A,0.5,True,5,51,16,0.028629485956856684
sgdm_rms_ols,0.2,N/A,N/A,True,5,51,16,0.0027126462679871797
sgdm_rms_ridge,0.2,N/A,0.01,True,5,51,16,0.004593234867646784
sgdm_rms_ridge,0.2,N/A,0.05,True,5,51,16,0.0053277325217516895
sgdm_rms_ridge,0.2,N/A,0.1,True,5,51,16,0.006841730209883407
sgdm_rms_ridge,0.2,N/A,0.5,True,5,51,16,0.0205278246509684
sgdm_rms_ols,0.5,N/A,N/A,True,5,51,16,0.0175435754574873
sgdm_rms_ridge,0.5,N/A,0.01,True,5,51,16,0.016990431331248498
sgdm_rms_ridge,0.5,N/A,0.05,True,5,51,16,0.0034943310079193026
sgdm_rms_ridge,0.5,N/A,0.1,True,5,9,13,0.01996575594114856
sgdm_rms_ridge,0.5,N/A,0.5,True,5,N/A,11,0.027071034345512293
sgdm_rms_ols,0.01,N/A,N/A,True,5,51,16,0.0015561031838442886
sgdm_rms_ridge,0.01,N/A,0.01,True,5,51,16,0.002332318460884942
sgdm_rms_ridge,0.01,N/A,0.05,True,5,51,16,0.006065823719931631
