function name,learning rate,lambda,mini batch size,epochs,score
FFNN,0.1,0.1,20,500,0.6929824561403509
FFNN,0.1,0.5,20,500,0.6842105263157895
log reg,N/A,0.001,5,100,0.945054945054945
log reg,N/A,0.01,5,100,0.945054945054945
log reg,N/A,0.1,5,100,0.8791208791208791
log reg,N/A,0.5,5,100,0.967032967032967
log reg,N/A,0.001,10,100,0.9120879120879121
log reg,N/A,0.01,10,100,0.9010989010989011
log reg,N/A,0.1,10,100,0.945054945054945
log reg,N/A,0.5,10,100,0.8901098901098901
log reg,N/A,0.001,15,100,0.9560439560439561
log reg,N/A,0.01,15,100,0.9340659340659341
log reg,N/A,0.1,15,100,0.945054945054945
log reg,N/A,0.5,15,100,0.945054945054945
log reg,N/A,0.001,20,100,0.945054945054945
log reg,N/A,0.01,20,100,0.9560439560439561
log reg,N/A,0.1,20,100,0.945054945054945
log reg,N/A,0.5,20,100,0.967032967032967
log reg,N/A,0.001,5,200,0.967032967032967
log reg,N/A,0.01,5,200,0.9560439560439561
log reg,N/A,0.1,5,200,0.9230769230769231
log reg,N/A,0.5,5,200,0.9010989010989011
log reg,N/A,0.001,10,200,0.9340659340659341
log reg,N/A,0.01,10,200,0.9560439560439561
log reg,N/A,0.1,10,200,0.9010989010989011
log reg,N/A,0.5,10,200,0.9120879120879121
log reg,N/A,0.001,15,200,0.9120879120879121
log reg,N/A,0.01,15,200,0.9120879120879121
log reg,N/A,0.1,15,200,0.9340659340659341
log reg,N/A,0.5,15,200,0.9010989010989011
log reg,N/A,0.001,20,200,0.9010989010989011
log reg,N/A,0.01,20,200,0.945054945054945
log reg,N/A,0.1,20,200,0.9230769230769231
log reg,N/A,0.5,20,200,0.9230769230769231
log reg,N/A,0.001,5,500,0.967032967032967
log reg,N/A,0.01,5,500,0.9010989010989011
log reg,N/A,0.1,5,500,0.8901098901098901
log reg,N/A,0.5,5,500,0.9010989010989011
log reg,N/A,0.001,10,500,0.8791208791208791
log reg,N/A,0.01,10,500,0.9010989010989011
log reg,N/A,0.1,10,500,0.8681318681318682
log reg,N/A,0.5,10,500,0.8791208791208791
log reg,N/A,0.001,15,500,0.9340659340659341
log reg,N/A,0.01,15,500,0.9010989010989011
log reg,N/A,0.1,15,500,0.967032967032967
log reg,N/A,0.5,15,500,0.945054945054945
log reg,N/A,0.001,20,500,0.9010989010989011
log reg,N/A,0.01,20,500,0.9230769230769231
log reg,N/A,0.1,20,500,0.9120879120879121
log reg,N/A,0.5,20,500,0.9560439560439561
